Alignment ID,Average Rt(min),Average Mz,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5
10,0.582,70.06529,4347,5129,5573,5233,5428,5472,5197,5247,5132,5476
12,0.472,70.53161,2131,2005,2495,2700,2737,2228,2798,3108,2515,2792
15,0.469,71.02921,3828,3891,4607,4793,5172,4372,4807,5007,4281,4515
19,0.603,72.0808,52634,64553,61604,66680,51828,60075,48554,48922,46766,48527
27,0.585,74.06016,2681,2999,2999,2901,2763,2739,2614,2689,2724,2465
29,17.428,75.0443,84,95,190,235,268,274,239,434,381,385
50,0.458,79.03883,1594,1348,1821,1714,2141,1631,1890,1821,1811,1913
62,0.471,79.53676,8168,8540,9601,9885,11428,8907,9893,10674,9490,10400
65,0.472,80.53583,1488,1670,2010,2078,2163,1860,1863,2002,1726,1817
75,0.475,82.01383,2201,2233,2373,2543,2898,2254,2641,2951,2725,2828
76,0.472,82.03951,6465,6197,7383,7400,8535,6645,7548,8636,7133,8360
78,0.47,82.53732,13279,13456,15140,15543,18491,15065,16178,17435,14920,15264
86,17.684,83.08536,1294,1593,1744,2049,2114,2338,2229,2061,2427,2444
87,2.066,83.08549,20569,19801,17695,15534,12957,11232,11138,10507,9962,9455
88,0.47,83.53552,2125,2341,2548,2629,2964,2434,2544,2738,2438,2508
90,0.592,84.04429,4417,4808,4614,4195,4252,4378,4060,4129,3938,3896
103,18.907,85.10177,533,758,860,878,1006,1100,1266,1208,1487,1538
109,0.867,86.09682,368381,541372,463038,444644,444199,461049,467260,470980,484292,494996
123,0.796,87.10009,20034,29201,25478,23872,24295,25515,25988,25702,26287,27151
135,0.476,88.04436,7109,7412,8082,8266,9110,7845,8111,8733,7403,7780
139,0.468,89.04285,1741,1725,1919,2112,2407,1998,2113,2272,2096,2041
154,0.581,90.05512,7246,8348,9282,8566,8713,8227,7992,7898,7987,7910
159,0.474,90.54708,4654,4804,5516,5626,6296,5479,6109,6455,6033,6246
173,0.473,91.0448,38780,39087,45653,44643,52780,41678,46051,49789,44315,48665
179,0.452,91.54514,9877,9873,11337,11434,13883,10813,12566,12791,11180,12205
190,17.475,95.08593,639,868,1166,1171,1582,1378,1684,1796,1764,1797
216,17.685,97.10105,3057,4156,4590,5449,5568,6471,6960,6685,7009,7065
217,14.722,97.10128,385,536,807,991,1133,1345,1681,1844,1926,1869
218,19.894,97.10143,97,272,327,373,378,464,497,509,649,659
246,0.726,98.98425,8393,7410,7488,7999,7371,7969,7702,7155,7034,7522
247,0.884,98.9847,8384,7410,7493,7999,7371,7969,7694,7155,7034,7522
262,0.473,99.55254,33444,33013,38447,37899,46210,36010,39618,43047,37965,39873
277,0.788,101.02303,2348,2763,2862,2641,2465,2497,2321,2184,2317,2186
278,0.582,101.06083,2901,2987,3610,3310,3745,3696,3167,3692,3406,3821
279,2.061,101.09614,93173,91549,77922,64203,55106,44854,42657,41208,40166,37480
283,0.604,102.05533,9532,10310,10504,10022,8789,9218,8762,8773,8392,8641
296,0.693,103.05466,496,484,2806,501,5579,3822,3188,2920,2963,2614
297,1.239,103.05481,4940,9079,11836,10758,10295,10707,10366,10520,11075,11407
306,0.641,104.0536,6561,9244,9440,9619,10014,8825,8752,8071,8244,7596
307,0.587,104.0705,974,1192,1160,1306,1152,1106,1136,1471,1285,1447
309,0.551,104.10744,83186,106973,121706,129888,140897,130154,141950,136699,140775,140587
311,0.478,105.00369,1650,1792,1770,1888,2145,1852,1903,2002,1724,2025
320,0.572,105.11015,5138,6361,6980,7473,8461,7576,8511,8068,8821,7755
323,0.602,106.04952,4882,5076,5031,4515,4205,4503,4147,4251,4108,3953
326,0.539,106.95159,743,1067,1094,1261,1350,1412,1389,1326,1433,1493
341,4.414,107.049,818,1289,1580,1890,2009,2509,2653,2840,2792,2937
342,1.242,107.04964,1786,3102,4046,3487,3629,3806,3786,3859,3745,3923
360,0.474,108.06023,12212,12364,13542,13766,17040,13590,14901,15996,13414,14560
368,10.132,109.02877,285,438,619,683,715,743,865,843,923,968
369,0.454,109.0591,2553,2642,3030,3032,3763,3227,3357,3423,3056,3152
371,16.657,109.10129,658,1292,1596,1879,2229,2376,2486,2515,2573,2691
372,17.654,109.10178,728,1010,1250,1347,1621,1757,1851,1860,2030,1902
378,0.476,110.00892,6500,6880,7596,8176,8255,7472,7304,8986,7212,8363
380,0.548,110.07155,2930,3443,3840,3926,3792,3979,3938,4064,4065,4148
386,0.952,111.09222,303,691,938,1003,1177,1223,1300,1288,1256,1419
387,17.684,111.11681,3290,4514,5670,6344,6763,6911,7433,7838,8231,7954
388,16.552,111.117,306,502,603,687,806,872,932,942,1039,1075
390,14.725,111.11711,267,572,748,923,1047,1246,1406,1605,1707,1765
396,0.61,112.0508,2711,3198,3524,3459,3126,3346,3092,3344,3195,3135
397,0.551,112.08738,1583,1876,2156,2351,2333,2322,2156,2525,2464,2631
402,0.617,113.02081,2516,3316,3064,3351,3388,3623,3309,3800,4110,4060
403,0.701,113.0349,5733,5172,4599,4786,4147,4233,4079,4176,3997,3975
406,18.922,113.13268,273,457,523,717,750,798,958,983,1128,1300
416,0.577,114.06732,11556,14232,16048,15589,18141,17253,17899,18418,18482,19366
427,0.54,115.0876,1404,1803,1802,1876,1787,1941,1876,2157,1877,2037
442,0.576,116.07045,51142,60835,64289,58906,61903,56287,54234,54064,52900,53713
443,3.641,116.07051,1824,2536,3493,4082,4680,4533,4785,4700,5014,4804
449,0.558,117.07382,3119,3776,4064,3837,3764,3765,3581,3509,3323,3310
457,2.422,118.06512,492,1007,1424,1530,1436,1401,1465,1441,1445,1440
460,0.596,118.08608,130333,160129,162524,169694,136295,160400,136469,134381,123308,128763
466,0.742,119.0496,2930,2703,3392,3416,3184,3239,3308,3310,3272,3317
469,2.083,119.1068,74649,74556,63227,52257,45838,36755,35045,32480,30455,12565
473,6.256,120.06535,60,195,308,407,471,530,532,1266,1464,1379
474,6.193,120.06542,83,199,298,407,471,530,677,1442,1464,1209
476,0.577,120.06609,12214,13082,12656,11641,11184,10958,10498,10931,10617,10104
477,1.26,120.0667,1185,1677,1782,1853,1952,1872,1962,2027,2076,2298
478,2.395,120.08045,873,1443,2006,2384,2414,2720,2915,3153,2999,2960
480,7.019,120.08096,160,287,474,649,801,1212,1417,1662,1193,1375
481,0.639,120.08117,1154,1607,1010,1659,204381,145290,119579,110289,101925,97451
484,0.549,120.10186,1801,2323,2585,2649,2897,2592,2992,2817,3047,2950
488,5.127,121.06497,4453,8103,11011,13381,15503,17091,18708,21107,22441,24163
489,0.698,121.0663,1018,1388,1412,1381,1571,1501,1423,1423,1407,1384
490,1.206,121.08458,16460,29693,38172,33544,33997,33574,33616,36154,37711,37151
491,0.684,121.08482,85,75,164,234,17730,12223,9833,9272,9019,8722
492,16.532,121.10104,580,889,1218,1376,1644,1730,1794,2026,2013,1890
496,0.521,121.53158,2126,2573,2448,2627,2755,2821,2364,2530,2686,2500
506,0.521,122.92445,1602,2150,2286,2864,2258,3150,2609,2770,2832,2698
508,0.614,123.05517,41284,57062,61960,70056,68525,69476,70053,68904,67417,65687
509,16.667,123.11735,779,1324,1771,2054,2374,2530,2891,2988,3199,3270
510,17.63,123.11739,532,952,1002,1221,1269,1427,1451,1555,1640,1810
513,0.608,124.03929,9591,11713,11508,12924,11486,13052,11501,11771,11437,10447
523,1.973,125.10811,511,1039,1399,1916,2364,2518,3029,3394,3527,3851
524,17.685,125.13231,2912,4527,5151,6062,6301,6922,7614,7650,8045,8645
526,19.888,125.13265,86,201,331,416,380,451,519,626,520,655
532,0.649,126.02202,23309,20216,18693,18017,17133,18568,18670,20135,20533,20407
541,0.476,127.02408,18357,19403,21468,22889,22484,20783,20595,25030,20503,23521
542,0.785,127.03885,3961,3469,3127,3472,3484,3569,3663,4081,4048,4101
543,10.103,127.03904,1216,1374,1562,1559,1609,1717,1930,1983,2036,2288
545,1.111,127.04974,2985,4521,3909,3767,4083,4103,4423,4190,4463,5231
551,0.479,128.021,7158,7129,6996,7453,7989,7096,7047,8223,6687,7593
552,0.72,128.07095,2329,2780,2950,2968,2812,2870,2709,2646,2741,2930
555,0.476,129.01598,3578,3488,3734,4083,4164,3988,3898,4740,3897,4105
556,0.476,129.0397,12081,13051,14245,14493,15635,12978,13744,16259,14259,15536
561,19.9,129.09103,37,149,156,235,240,297,309,333,407,422
563,5.108,129.1021,164,242,722,963,1098,1278,1370,1679,2473,2395
564,0.595,129.10239,3813,5557,6171,6369,6931,7408,6820,7160,7248,7076
568,0.493,129.5768,2485,2694,3025,3211,3224,3526,3299,4147,3659,3592
572,0.457,129.59448,1575,1981,2216,2366,2784,2231,2818,2809,2530,2677
575,0.468,130.01727,1080,1082,1112,1085,1160,1057,1063,1169,969,1250
576,0.606,130.05011,36567,39379,37638,34876,32681,32737,30644,32491,31797,30405
578,0.5,130.08646,27320,33246,33288,38191,34276,40359,34691,40831,39643,42069
579,1.574,130.08669,789,832,1304,1380,1623,2909,3280,3097,3037,2846
582,0.62,130.60226,2575,2720,2947,2960,2685,3009,3120,3343,3185,3647
587,1.241,131.04982,4066,7258,9520,8295,8694,8865,9022,9281,9165,8811
588,0.617,131.05025,2410,3066,3090,2502,5514,4769,4183,4365,4051,3569
589,0.545,131.08961,2061,2406,2442,2659,2623,2774,2603,3000,2873,2982
590,0.525,131.543,1889,2513,2251,2460,2126,2551,2151,2415,2444,2263
596,0.57,132.07683,100039,127197,140878,138649,148952,137009,138778,136347,132656,133044
597,2.436,132.08037,767,1514,2168,2253,2141,2151,2197,2274,2338,2528
602,0.866,132.10269,618272,954810,814756,788661,814390,841777,861614,890587,887707,877610
610,0.637,133.03236,9345,12813,13223,13743,13679,12995,12292,11634,11255,11016
611,8.318,133.04916,290,562,806,878,1128,1059,1392,1440,1479,1723
613,0.548,133.06126,4832,5187,5110,5235,4873,5065,4710,5097,5031,4455
618,0.722,133.10583,40226,62119,54827,51241,53417,50938,46452,43688,43114,40477
620,0.584,134.02734,7233,8049,7863,6591,5778,5743,4747,4692,4316,4154
621,0.615,134.04501,13240,13255,12144,11330,10017,10422,9949,10711,10785,10408
623,4.568,134.06052,152,446,646,867,1193,1223,1376,1549,1723,1819
635,0.549,136.04788,1253,1852,2353,2948,3925,3497,4050,4307,4593,4768
637,0.739,136.07637,29514,32779,33132,33715,34112,34459,33785,34617,34815,35238
641,0.668,137.04565,75103,93609,89033,87420,77135,76500,70189,68244,67651,66928
643,0.795,137.07904,2299,2461,2560,2595,2469,2630,2556,2748,2730,2806
647,17.457,137.13264,429,763,987,1281,1507,1562,1782,1995,2033,2297
648,16.652,137.13301,565,933,1241,1394,1705,1875,2026,2128,2336,2487
652,0.587,138.04987,5577,7207,7702,7901,7919,7395,7926,7368,7482,7583
663,0.601,139.05019,2524,3262,3143,3874,3118,4169,3449,3820,3826,4222
667,17.685,139.14792,2194,3225,3801,4651,5247,5432,6001,6212,6425,6238
668,19.885,139.14819,84,179,198,301,357,422,377,464,520,600
672,0.485,140.052,2872,3109,3184,3390,3344,3611,3322,3675,3565,3592
673,0.546,140.06828,5940,7854,9849,11498,13762,13236,15631,15532,16303,17538
