Alignment ID,Average Rt(min),Average Mz,C1_DUO,C2_DUO,C3_DUO,C4_DUO,C5_DUO,C6_DUO,N1_DUO,N2_DUO,N3_DUO,N4_DUO,N5_DUO,N6_DUO
6363,4.697,477.18878,2508,632,136,131,0,254,602,136,164,125,104,76
6365,7.862,477.26962,1031,5495,657,611,1814,676,1003,1371,1267,649,1556,1979
6367,14.815,477.27942,5107,4704,4137,4548,3796,4932,5992,5606,4714,4265,4440,4382
6368,13.696,477.28018,2124,4335,2695,1752,3736,3082,3279,3776,3032,2247,4354,4214
6370,15.436,477.29761,689,1069,639,2205,3054,1713,896,1093,1543,804,986,1352
6371,9.309,477.30466,17095,4559,3816,10236,0,4531,3209,7764,80,84,4709,0
6380,9.029,477.8092,0,2486,2643,6036,3598,2866,76,112,3743,1246,2421,94
6384,2.211,478.23062,2244,517,778,1210,603,628,884,1734,685,354,582,577
6386,7.925,478.23792,315,1299,187,6178,125,8879,3295,3236,100,261,275,91
6388,10.309,478.26263,2432,2482,868,1608,771,1206,1871,1633,880,964,1290,754
6391,13.375,478.29221,1675,3108,771,102,850,318,385,407,936,236,1397,1417
6392,14.3,478.29425,143683,209877,179541,134703,203274,217024,222305,239584,165698,138826,205630,234135
6399,7.934,478.48865,851,759,0,5709,76,7620,2660,3223,0,0,2983,0
6402,7.839,478.74054,212,323,190,3647,85,4957,1908,488,80,83,1914,126
6410,13.385,479.29691,514,857,317,95,250,357,216,116,226,0,505,531
6411,14.288,479.29706,35688,50543,44458,33399,48287,52859,54046,58368,41802,36319,48409,58988
6413,15.933,479.35043,333,0,92,977,530,758,194,317,887,0,0,104
6420,7.703,479.59512,100,151,89,3825,82,1092,525,4405,0,0,78,0
6425,7.703,479.93057,25,108,0,2989,0,842,187,3042,0,84,866,0
6427,16.598,480.15826,1088,2679,4133,4087,3028,2941,1906,2949,2960,4524,3135,3513
6432,9.531,480.27725,120656,115531,91415,102247,88614,100411,103596,108760,83907,84155,93683,78581
6433,10.502,480.2782,26482,26999,17202,22450,15845,22241,25513,24079,16646,17632,19568,13492
6434,14.27,480.29919,5805,8510,8392,6041,8820,9770,9684,9835,7604,6939,8410,9674
6435,15.068,480.30804,197734,382186,326440,273479,407009,437913,432219,443246,336368,294443,412305,443319
6438,15.206,480.34195,7435,4390,2987,2158,4170,108,4491,1647,84,2902,3188,2038
6439,17.438,480.34454,3655,2079,758,814,1040,831,1215,1462,719,468,297,954
6444,16.631,481.15952,540,1098,2087,1863,1193,1254,827,1203,1337,1899,1278,1741
6445,6.995,481.26242,3690,878,595,864,291,752,1022,2262,303,318,379,455
6446,10.456,481.28256,8194,8139,5661,6940,5116,7124,8100,7576,5141,5482,6177,4046
6447,9.52,481.28262,35035,34942,27722,29176,25083,30094,31046,32493,25595,25210,27514,22991
6448,12.5,481.29913,4031,3745,1604,2518,2054,3390,4175,4141,1936,2493,2006,1965
6449,15.064,481.3125,48886,91623,77098,64323,98507,106900,107796,105344,80789,72228,98803,107986
6451,15.416,481.3652,490,607,410,566,653,1569,1352,253,756,285,0,483
6458,7.473,482.23737,2082,3248,378,955,262,445,3163,645,271,209,367,507
6460,10.704,482.29245,19339,1884,9177,14982,1663,4779,15328,14064,5538,4550,10694,2651
6461,10.336,482.29309,20598,15490,2942,13235,11960,9478,12452,13366,11676,12956,18223,11875
6462,11.316,482.29318,84043,68862,42423,44350,34155,57559,51976,50302,28936,41861,34288,26138
6463,15.05,482.31516,10604,19981,13532,13328,19270,19286,19993,19914,15234,13558,17959,20362
6464,16.142,482.32355,865074,814422,640649,709855,814663,649650,815974,801450,787493,660774,691135,779234
6465,18.795,482.32611,6590,4705,2914,2429,2593,2716,3226,3149,2352,2936,1241,2714
6466,12.028,482.34528,2463,2014,388,1007,1047,1086,1200,1286,434,323,662,827
6467,12.819,482.34756,2386,1548,536,1108,913,1052,1195,1766,176,309,346,568
6469,15.15,482.36072,15894,24077,7428,9392,19827,7995,8127,11958,9476,16870,10018,18756
6479,16.254,482.80383,103,107,643,448,325,614,384,456,421,687,354,397
6480,10.979,483.22223,581,646,539,692,657,938,835,746,199,375,848,881
6482,13.609,483.27081,538,539,297,480,2039,1101,707,817,706,245,652,946
6483,11.18,483.27994,1265,1381,618,1018,893,1245,1059,1527,498,975,629,899
6484,9.54,483.28061,2582,2521,1706,2128,1790,2158,2231,2228,1585,1813,1810,1612
6485,11.303,483.2959,25125,19932,13769,12578,10122,17388,15448,14792,8822,11653,11241,8296
